"","root_size","stem_size","root_branching","sum"
"1",28,34,0,62
"2",20,25,1,45
"3",22,26,1,48
"4",21,26,0,47
"5",18,32,1,50
"6",17,42,0,59
"7",61,29,0,90
"8",49,29,0,78
"9",36,30,0,66
"10",66,30,0,96
"11",27,17,0,44
"12",21,20,0,41
"13",58,28,0,86
"14",71,21,0,92
"15",23,30,1,53
"16",19,20,0,39
"17",40,25,0,65
"18",19,26,0,45
"19",43,23,1,66
"20",21,23,0,44
"21",45,14,0,59
"22",20,20,0,40
"23",10,22,0,32
"24",69,31,0,100
"25",68,32,0,100
"26",13,30,1,43
"27",12,30,0,42
"28",14,26,0,40
"29",37,22,0,59
"30",17,25,0,42
"31",117,40,0,157
"32",21,35,0,56
"33",27,32,1,59
"34",46,24,0,70
"35",23,28,0,51
"36",17,22,0,39
"37",13,20,0,33
"38",16,32,0,48
"39",36,30,0,66
"40",52,34,1,86
"41",41,21,0,62
"42",22,23,0,45
"43",28,29,1,57
"44",50,27,0,77
"45",34,28,1,62
"46",20,24,0,44
"47",57,35,0,92
"48",25,35,0,60
"49",17,26,0,43
"50",29,39,0,68
"51",42,29,0,71
"52",25,40,0,65
"53",50,38,0,88
"54",70,36,0,106
"55",40,33,0,73
"56",31,31,1,62
"57",37,30,0,67
"58",26,28,0,54
"59",55,25,0,80
"60",41,23,0,64
"61",20,13,0,33
"62",21,23,1,44
"63",57,24,0,81
"64",40,26,0,66
